region_id,region_name,account_id,account_name,date,timezone,window_start,window_end,sp_check_in,violation,night_shift,diff
5afe15d9d8a0fa0700197cd5,Orange County,5bd7403081584400073da654,Andre Landscape Service - Orange,5/13/2021,US/Pacific,18:00:00,4:00:00,1:23:38,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ade1f8918bf0307006ebdf9,Andros Rostilj LLC - Campbell,5/17/2021,US/Pacific,22:00:00,5:00:00,22:24:58,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5d5c1c09ed06970012538b9f,Meals on Wheels - San Francisco,5/19/2021,US/Pacific,17:00:00,4:00:00,3:02:22,FALSE,TRUE,NULL
2.22222E+23,DFW,5fd906552a195a00129274b7,PR Corporate Operations LLC,4/7/2021,US/Central,20:00:00,5:00:00,4:05:26,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5efcf64606bbf700121e8e30,C Trans - Oakland,4/14/2021,US/Pacific,18:00:00,6:00:00,2:08:56,FALSE,TRUE,NULL
2.22222E+23,DFW,5bbfafab48e09a0007f085ed,Boxes 4 U-1401 E Plano Pkwy ,4/15/2021,US/Central,21:00:00,4:00:00,0:51:14,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5ef0f1a55b6f10001287fac5,DTN8 - CBLL,4/17/2021,US/Central,22:00:00,7:00:00,22:31:39,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5dfa6a63eae79f0012eafa48,SJ Food - Maywood - Diesel,4/26/2021,US/Pacific,6:30:00,11:00:00,6:32:18,FALSE,FALSE,NULL
1.11111E+23,Bay Area,5ecec8ddc2e3990012834a95,DSF4 - San Leandro - ONCI,4/30/2021,US/Pacific,21:00:00,5:00:00,1:05:28,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5e5d773d690f7c0012f8ad24,Honey Bucket - Richmond,5/7/2021,US/Pacific,19:30:00,4:00:00,0:01:06,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5fad8107cca68500125419e8,DCX8 ,5/8/2021,US/Pacific,21:00:00,5:00:00,21:32:03,FALSE,TRUE,NULL
1.11111E+23,Bay Area,60622f6c6ada4c0012fa69fe,Medallion Landscape - Fremont,5/11/2021,US/Pacific,17:00:00,4:00:00,2:49:48,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,60db9f10263d3b0012653365,Golden West Food Group (5),7/17/2021,US/Pacific,22:00:00,4:00:00,2:16:35,FALSE,TRUE,NULL
5b7762d7c2ced20700425b04,Sacramento,5bb2ff7a03a6c3000774ea3c,"Traffic Management, Inc. - Sacramento",7/19/2021,US/Pacific,19:00:00,5:00:00,0:20:17,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5f91e8846fee530012a38273,Kushagram (3) - Santa Ana (Warner Ave) ,7/25/2021,US/Pacific,23:59:00,7:00:00,4:33:40,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5c81a2c3976e74001ea98cc9,LandCare - Pleasanton,6/30/2021,US/Pacific,15:00:00,3:00:00,1:00:38,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5f57c8ec10c1d600124bf4b8,DNA1 - AXPR,7/2/2021,US/Central,22:00:00,8:00:00,2:27:14,FALSE,TRUE,NULL
2.22222E+23,DFW,5cd30aae711f66001fa78364,Monarch - 2433 Merrell Road,7/6/2021,US/Central,17:00:00,3:00:00,19:47:11,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,606f50fb5ffc2e00127d86f2,Cintas Corporation - Tustin - TANKER,7/7/2021,US/Pacific,20:30:00,4:00:00,0:04:41,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5f4ff9961a8bc40012eab819,CHHJ - 4229 West Marginal Way,7/20/2021,US/Pacific,20:00:00,4:00:00,1:34:47,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,606f368dc8db280012145be8,Ferguson Supply - 4100 West Marginal Way Southwest,7/20/2021,US/Pacific,17:00:00,23:00:00,20:17:21,FALSE,FALSE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5f91e8846fee530012a38273,Kushagram (3) - Santa Ana (Warner Ave) ,4/13/2021,US/Pacific,23:59:00,7:00:00,3:16:06,FALSE,TRUE,NULL
1.11111E+23,Bay Area,602d3f1ae0032a001214b251,OJ Insulation,4/16/2021,US/Pacific,22:00:00,4:00:00,22:58:21,FALSE,TRUE,NULL
2.22222E+23,DFW,5cd30aae711f66001fa78364,Monarch - 2433 Merrell Road,4/18/2021,US/Central,17:00:00,3:00:00,20:37:11,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5ecec8ddc2e3990012834a95,DSF4 - San Leandro - ONCI,4/20/2021,US/Pacific,21:00:00,5:00:00,22:22:40,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5d161cf39c274e0012e6063d,NON - Monarch - Woodinville,5/3/2021,US/Pacific,19:00:00,5:00:00,20:44:35,FALSE,TRUE,NULL
